"Asset_ID","Canonical_Name","Alias","Operator","Company Type","Status","Total Space (sqft)","Colocation Space (sqft)","Power Capacity (MW)","Acre","street_address","city","state","postal_code","latitude","longitude","estimated_mw","Modified","Created"
"DC-10167","DE2 Englewood Data Center","DE2 Englewood Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","108,336","71,184","0","0","335 Inverness Drive South","Englewood","CO",,"39.56035147","-104.8575195","5.3","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10166","Newark Data Center - Apple","Newark Data Center - Apple","Apple","[""Hyperscale""]","[""Operational""]","109,000","0","0","0","39800 Eureka Drive","Newark","CA",,"37.509894","-122.002462","6.7","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10165","New York Teleport Data Center","New York Teleport Data Center","Telehouse",,"[""Operational""]","162,000","80,000","10","0","7 Teleport Drive","Staten Island","NY",,"40.60656479","-74.17517463","10.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10164","Phoenix PHX10 Data Center","Phoenix PHX10 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","347,000","175,000","32","0","120 East Van Buren Street","Phoenix","AZ",,"33.45190006","-112.0719031","32.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10163","SV2 Santa Clara Data Center","SV2 Santa Clara Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","160,000","79,974","7","0","1350 Duane Avenue","Santa Clara","CA",,"37.37831799","-121.95492","7.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10162","AZP - 3 - Phoenix Data Center","AZP - 3 - Phoenix Data Center","Iron Mountain Data Centers","[""Carrier Neutral/Real Estate""]","[""Operational""]","230,000","0","36","0","4802 East Van Buren Street","Phoenix","AZ",,"33.45243093","-111.9775237","36.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10161","Utah Data Center","Utah Data Center","NOVVA",,"[""Operational""]","1,500,000","1,500,000","30","0","Novva Data Centers, 6477 Wells Park Road, West Jordan","Utah 84081",,,"40.57454642","-112.0455047","30.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10160","DC3 Ashburn Data Center","DC3 Ashburn Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","95,444","67,041","5","0","44470 Chilum Place","Ashburn","VA",,"39.02226351","-77.46122735","5.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10159","IAD01 Ashburn Data Center","IAD01 Ashburn Data Center","Aligned Data Centers","[""Carrier Neutral/Real Estate""]","[""Operational""]","370,000","0","60","0","21890 Uunet Drive","Ashburn","VA",,"39.01360404","-77.47075255","60.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10158","Los Angeles LAX10 Data Center","Los Angeles LAX10 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","490,000","489,722","27","0","600 West 7th Street","Los Angeles","CA",,"34.04728487","-118.256859","27.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
